colour	x	y	group	showSelected1
#FF0000	-6.57589541978262	2844	1	BIC
#FF0000	-5.39751112112849	2735	1	BIC
#FF0000	-5.05722826783035	2620	1	BIC
#FF0000	-4.84573478689296	2503	1	BIC
#FF0000	-4.69040993871041	2386	1	BIC
#FF0000	-4.53233890237791	2271	1	BIC
#FF0000	-4.39858038161976	2154	1	BIC
#FF0000	-4.26925544541917	2041	1	BIC
#FF0000	-4.14938534774656	1924	1	BIC
#FF0000	-4.04281966444467	1806	1	BIC
#FF0000	-3.93533483887987	1689	1	BIC
#FF0000	-3.83818004634803	1574	1	BIC
#FF0000	-3.72393423761704	1457	1	BIC
#FF0000	-3.62534313631142	1346	1	BIC
#FF0000	-3.50431792944493	1235	1	BIC
#FF0000	-3.39563906921822	1118	1	BIC
#FF0000	-3.24048455419158	1001	1	BIC
#FF0000	-3.10526019750774	890	1	BIC
#FF0000	-2.97928062723254	773	1	BIC
#FF0000	-2.79957050704901	670	1	BIC
#FF0000	-2.64499440826257	596	1	BIC
#FF0000	-2.45862275139487	503	1	BIC
#FF0000	-2.23470821496102	402	1	BIC
#FF0000	-1.99555255508257	309	1	BIC
#FF0000	-1.71312662899556	245	1	BIC
#FF0000	-1.49970205728154	212	1	BIC
#FF0000	-1.33800451294656	191	1	BIC
#FF0000	-1.15601772034319	185	1	BIC
#FF0000	-0.99720866873394	183	1	BIC
#FF0000	-0.842983649014852	185	1	BIC
#FF0000	-0.668864233531317	197	1	BIC
#FF0000	-0.441975148478196	211	1	BIC
#FF0000	-0.328066682431826	226	1	BIC
#FF0000	-0.213307931859514	243	1	BIC
#FF0000	-0.0900120964927986	264	1	BIC
#FF0000	-0.00366525045723953	274	1	BIC
#FF0000	0.025210726924555	279	1	BIC
#FF0000	0.115421360352252	299	1	BIC
#FF0000	0.232787675674631	314	1	BIC
#FF0000	0.347426700197016	331	1	BIC
#FF0000	0.476342847811818	352	1	BIC
#FF0000	0.611460822251934	374	1	BIC
#FF0000	0.754908325878882	395	1	BIC
#FF0000	0.934012149172178	415	1	BIC
#FF0000	1.12110847617967	438	1	BIC
#FF0000	1.35495532027487	459	1	BIC
#FF0000	1.55998010551708	479	1	BIC
#FF0000	1.84374223424028	501	1	BIC
#FF0000	2.19672696568804	525	1	BIC
#FF0000	2.51853297452366	548	1	BIC
#FF0000	4.03737927821149	572	1	BIC
#00BFFF	-5.73898528133578	2844	2	learned
#00BFFF	-4.3282350536358	2735	2	learned
#00BFFF	-3.95537891332909	2618	2	learned
#00BFFF	-3.72063363485447	2505	2	learned
#00BFFF	-3.50652440147831	2390	2	learned
#00BFFF	-3.3465671785449	2273	2	learned
#00BFFF	-3.2205280514271	2156	2	learned
#00BFFF	-3.09315209630182	2041	2	learned
#00BFFF	-2.9396205552424	1924	2	learned
#00BFFF	-2.81641394458673	1806	2	learned
#00BFFF	-2.7023982628549	1693	2	learned
#00BFFF	-2.59645136499986	1578	2	learned
#00BFFF	-2.48588776535177	1461	2	learned
#00BFFF	-2.38326846659771	1350	2	learned
#00BFFF	-2.28869683277578	1237	2	learned
#00BFFF	-2.18869767749264	1120	2	learned
#00BFFF	-2.08909204452619	1005	2	learned
#00BFFF	-1.97213383617308	888	2	learned
#00BFFF	-1.84651003668234	777	2	learned
#00BFFF	-1.71999751744627	672	2	learned
#00BFFF	-1.56307625015525	569	2	learned
#00BFFF	-1.39984540279874	452	2	learned
#00BFFF	-1.21079227933336	358	2	learned
#00BFFF	-1.00818037577551	269	2	learned
#00BFFF	-0.827666604436696	220	2	learned
#00BFFF	-0.602029491340173	150	2	learned
#00BFFF	-0.214768878328755	105	2	learned
#00BFFF	-0.00249927116413295	82	2	learned
#00BFFF	0.0670814359630171	84	2	learned
#00BFFF	0.272879899223195	99	2	learned
#00BFFF	0.440513190624701	118	2	learned
#00BFFF	0.618676453845889	134	2	learned
#00BFFF	0.754094289737101	157	2	learned
#00BFFF	0.988868928216768	177	2	learned
#00BFFF	1.16976295728249	198	2	learned
#00BFFF	1.32632859871698	222	2	learned
#00BFFF	1.41826118826963	244	2	learned
#00BFFF	1.52658576457768	268	2	learned
#00BFFF	1.64411865184755	289	2	learned
#00BFFF	1.78233382004739	313	2	learned
#00BFFF	1.8829424696659	336	2	learned
#00BFFF	1.99700619141638	360	2	learned
#00BFFF	2.11786206220658	383	2	learned
#00BFFF	2.25154049315582	407	2	learned
#00BFFF	2.39576698317929	431	2	learned
#00BFFF	2.53747208900789	454	2	learned
#00BFFF	2.69422261602522	478	2	learned
#00BFFF	2.84165163988694	501	2	learned
#00BFFF	3.15592092433379	525	2	learned
#00BFFF	3.49577695359199	548	2	learned
#00BFFF	4.20361996538578	572	2	learned
