x	y	showSelected.variable	showSelected.value	showSelected2	showSelected3
0.999648506151142	1	BIC.thresh	-6.57589541978262	other	BIC
0.961335676625659	1	BIC.thresh	-5.39751112112849	other	BIC
0.92091388400703	1	BIC.thresh	-5.05722826783035	other	BIC
0.879789103690685	1	BIC.thresh	-4.84573478689296	other	BIC
0.838664323374341	1	BIC.thresh	-4.69040993871041	other	BIC
0.798242530755712	1	BIC.thresh	-4.53233890237791	other	BIC
0.757117750439367	1	BIC.thresh	-4.39858038161976	other	BIC
0.717398945518453	1	BIC.thresh	-4.26925544541917	other	BIC
0.676274165202109	1	BIC.thresh	-4.14938534774656	other	BIC
0.634797891036907	1	BIC.thresh	-4.04281966444467	other	BIC
0.593673110720562	1	BIC.thresh	-3.93533483887987	other	BIC
0.553251318101933	1	BIC.thresh	-3.83818004634803	other	BIC
0.512126537785589	1	BIC.thresh	-3.72393423761704	other	BIC
0.472759226713533	0.99825479930192	BIC.thresh	-3.62534313631142	other	BIC
0.433743409490334	0.99825479930192	BIC.thresh	-3.50431792944493	other	BIC
0.392618629173989	0.99825479930192	BIC.thresh	-3.39563906921822	other	BIC
0.351493848857645	0.99825479930192	BIC.thresh	-3.24048455419158	other	BIC
0.312126537785589	0.99650959860384	BIC.thresh	-3.10526019750774	other	BIC
0.271001757469244	0.99650959860384	BIC.thresh	-2.97928062723254	other	BIC
0.234094903339192	0.993019197207679	BIC.thresh	-2.79957050704901	other	BIC
0.205623901581722	0.980802792321117	BIC.thresh	-2.64499440826257	other	BIC
0.171528998242531	0.973821989528796	BIC.thresh	-2.45862275139487	other	BIC
0.135676625659051	0.972076788830716	BIC.thresh	-2.23470821496102	other	BIC
0.101581722319859	0.965095986038394	BIC.thresh	-1.99555255508257	other	BIC
0.0759226713532513	0.949389179755672	BIC.thresh	-1.71312662899556	other	BIC
0.059402460456942	0.924956369982548	BIC.thresh	-1.49970205728154	other	BIC
0.0463971880492091	0.897033158813264	BIC.thresh	-1.33800451294656	other	BIC
0.0379613356766257	0.865619546247818	BIC.thresh	-1.15601772034319	other	BIC
0.0305799648506151	0.832460732984293	BIC.thresh	-0.99720866873394	other	BIC
0.0242530755711775	0.797556719022688	BIC.thresh	-0.842983649014852	other	BIC
0.0207381370826011	0.759162303664922	BIC.thresh	-0.668864233531317	other	BIC
0.0179261862917399	0.720767888307155	BIC.thresh	-0.441975148478196	other	BIC
0.0154657293497364	0.682373472949389	BIC.thresh	-0.328066682431826	other	BIC
0.0140597539543058	0.645724258289703	BIC.thresh	-0.213307931859514	other	BIC
0.0133567662565905	0.605584642233857	BIC.thresh	-0.0900120964927986	other	BIC
0.0115992970123023	0.579406631762653	BIC.thresh	-0.00366525045723953	predicted	BIC
0.010896309314587	0.567190226876091	BIC.thresh	0.025210726924555	other	BIC
0.00984182776801406	0.527050610820244	BIC.thresh	0.115421360352252	other	BIC
0.00738137082601055	0.488656195462478	BIC.thresh	0.232787675674631	other	BIC
0.00527240773286468	0.448516579406632	BIC.thresh	0.347426700197016	other	BIC
0.00456942003514939	0.408376963350785	BIC.thresh	0.476342847811818	other	BIC
0.00421792618629174	0.368237347294939	BIC.thresh	0.611460822251934	other	BIC
0.00351493848857645	0.328097731239092	BIC.thresh	0.754908325878882	other	BIC
0.00246045694200352	0.287958115183246	BIC.thresh	0.934012149172178	other	BIC
0.00210896309314587	0.246073298429319	BIC.thresh	1.12110847617967	other	BIC
0.00140597539543058	0.205933682373473	BIC.thresh	1.35495532027487	other	BIC
0.000351493848857645	0.165794066317627	BIC.thresh	1.55998010551708	other	BIC
0	0.12565445026178	BIC.thresh	1.84374223424028	other	BIC
0	0.0837696335078534	BIC.thresh	2.19672696568804	other	BIC
0	0.043630017452007	BIC.thresh	2.51853297452366	other	BIC
0	0.00174520069808028	BIC.thresh	4.03737927821149	other	BIC
0.999648506151142	1	learned.thresh	-5.73898528133578	other	learned
0.961335676625659	1	learned.thresh	-4.3282350536358	other	learned
0.920210896309315	1	learned.thresh	-3.95537891332909	other	learned
0.880492091388401	1	learned.thresh	-3.72063363485447	other	learned
0.840070298769772	1	learned.thresh	-3.50652440147831	other	learned
0.798945518453427	1	learned.thresh	-3.3465671785449	other	learned
0.757820738137083	1	learned.thresh	-3.2205280514271	other	learned
0.717398945518453	1	learned.thresh	-3.09315209630182	other	learned
0.676274165202109	1	learned.thresh	-2.9396205552424	other	learned
0.634797891036907	1	learned.thresh	-2.81641394458673	other	learned
0.595079086115993	1	learned.thresh	-2.7023982628549	other	learned
0.554657293497364	1	learned.thresh	-2.59645136499986	other	learned
0.513532513181019	1	learned.thresh	-2.48588776535177	other	learned
0.474165202108963	0.99825479930192	learned.thresh	-2.38326846659771	other	learned
0.434446397188049	0.99825479930192	learned.thresh	-2.28869683277578	other	learned
0.393321616871705	0.99825479930192	learned.thresh	-2.18869767749264	other	learned
0.352899824253076	0.99825479930192	learned.thresh	-2.08909204452619	other	learned
0.311775043936731	0.99825479930192	learned.thresh	-1.97213383617308	other	learned
0.272407732864675	0.99650959860384	learned.thresh	-1.84651003668234	other	learned
0.234797891036907	0.993019197207679	learned.thresh	-1.71999751744627	other	learned
0.197891036906854	0.989528795811518	learned.thresh	-1.56307625015525	other	learned
0.15676625659051	0.989528795811518	learned.thresh	-1.39984540279874	other	learned
0.12231985940246	0.982547993019197	learned.thresh	-1.21079227933336	other	learned
0.0899824253075571	0.977312390924956	learned.thresh	-1.00818037577551	other	learned
0.0688927943760984	0.958115183246073	learned.thresh	-0.827666604436696	other	learned
0.0414762741652021	0.944153577661431	learned.thresh	-0.602029491340173	other	learned
0.0214411247803163	0.923211169284468	learned.thresh	-0.214768878328755	other	learned
0.00984182776801406	0.905759162303665	learned.thresh	-0.00249927116413295	predicted	learned
0.00843585237258348	0.895287958115183	learned.thresh	0.0670814359630171	other	learned
0.00597539543057996	0.856893542757417	learned.thresh	0.272879899223195	other	learned
0.00456942003514939	0.816753926701571	learned.thresh	0.440513190624701	other	learned
0.00246045694200352	0.778359511343805	learned.thresh	0.618676453845889	other	learned
0.00210896309314587	0.736474694589878	learned.thresh	0.754094289737101	other	learned
0.00105448154657293	0.696335078534031	learned.thresh	0.988868928216768	other	learned
0.00105448154657293	0.659685863874346	learned.thresh	1.16976295728249	other	learned
0.00105448154657293	0.617801047120419	learned.thresh	1.32632859871698	other	learned
0.00070298769771529	0.577661431064573	learned.thresh	1.41826118826963	other	learned
0.00070298769771529	0.535776614310646	learned.thresh	1.52658576457768	other	learned
