fill	colour	x	y	showSelectedlegendfill	showSelectedlegendcolour	clickSelects.variable	clickSelects.value
#FFFFFF	#FF0000	0.999648506151142	1	other	BIC	BIC.thresh	-6.57589541978262
#FFFFFF	#FF0000	0.961335676625659	1	other	BIC	BIC.thresh	-5.39751112112849
#FFFFFF	#FF0000	0.92091388400703	1	other	BIC	BIC.thresh	-5.05722826783035
#FFFFFF	#FF0000	0.879789103690685	1	other	BIC	BIC.thresh	-4.84573478689296
#FFFFFF	#FF0000	0.838664323374341	1	other	BIC	BIC.thresh	-4.69040993871041
#FFFFFF	#FF0000	0.798242530755712	1	other	BIC	BIC.thresh	-4.53233890237791
#FFFFFF	#FF0000	0.757117750439367	1	other	BIC	BIC.thresh	-4.39858038161976
#FFFFFF	#FF0000	0.717398945518453	1	other	BIC	BIC.thresh	-4.26925544541917
#FFFFFF	#FF0000	0.676274165202109	1	other	BIC	BIC.thresh	-4.14938534774656
#FFFFFF	#FF0000	0.634797891036907	1	other	BIC	BIC.thresh	-4.04281966444467
#FFFFFF	#FF0000	0.593673110720562	1	other	BIC	BIC.thresh	-3.93533483887987
#FFFFFF	#FF0000	0.553251318101933	1	other	BIC	BIC.thresh	-3.83818004634803
#FFFFFF	#FF0000	0.512126537785589	1	other	BIC	BIC.thresh	-3.72393423761704
#FFFFFF	#FF0000	0.472759226713533	0.99825479930192	other	BIC	BIC.thresh	-3.62534313631142
#FFFFFF	#FF0000	0.433743409490334	0.99825479930192	other	BIC	BIC.thresh	-3.50431792944493
#FFFFFF	#FF0000	0.392618629173989	0.99825479930192	other	BIC	BIC.thresh	-3.39563906921822
#FFFFFF	#FF0000	0.351493848857645	0.99825479930192	other	BIC	BIC.thresh	-3.24048455419158
#FFFFFF	#FF0000	0.312126537785589	0.99650959860384	other	BIC	BIC.thresh	-3.10526019750774
#FFFFFF	#FF0000	0.271001757469244	0.99650959860384	other	BIC	BIC.thresh	-2.97928062723254
#FFFFFF	#FF0000	0.234094903339192	0.993019197207679	other	BIC	BIC.thresh	-2.79957050704901
#FFFFFF	#FF0000	0.205623901581722	0.980802792321117	other	BIC	BIC.thresh	-2.64499440826257
#FFFFFF	#FF0000	0.171528998242531	0.973821989528796	other	BIC	BIC.thresh	-2.45862275139487
#FFFFFF	#FF0000	0.135676625659051	0.972076788830716	other	BIC	BIC.thresh	-2.23470821496102
#FFFFFF	#FF0000	0.101581722319859	0.965095986038394	other	BIC	BIC.thresh	-1.99555255508257
#FFFFFF	#FF0000	0.0759226713532513	0.949389179755672	other	BIC	BIC.thresh	-1.71312662899556
#FFFFFF	#FF0000	0.059402460456942	0.924956369982548	other	BIC	BIC.thresh	-1.49970205728154
#FFFFFF	#FF0000	0.0463971880492091	0.897033158813264	other	BIC	BIC.thresh	-1.33800451294656
#FFFFFF	#FF0000	0.0379613356766257	0.865619546247818	other	BIC	BIC.thresh	-1.15601772034319
#FFFFFF	#FF0000	0.0305799648506151	0.832460732984293	other	BIC	BIC.thresh	-0.99720866873394
#FFFFFF	#FF0000	0.0242530755711775	0.797556719022688	other	BIC	BIC.thresh	-0.842983649014852
#FFFFFF	#FF0000	0.0207381370826011	0.759162303664922	other	BIC	BIC.thresh	-0.668864233531317
#FFFFFF	#FF0000	0.0179261862917399	0.720767888307155	other	BIC	BIC.thresh	-0.441975148478196
#FFFFFF	#FF0000	0.0154657293497364	0.682373472949389	other	BIC	BIC.thresh	-0.328066682431826
#FFFFFF	#FF0000	0.0140597539543058	0.645724258289703	other	BIC	BIC.thresh	-0.213307931859514
#FFFFFF	#FF0000	0.0133567662565905	0.605584642233857	other	BIC	BIC.thresh	-0.0900120964927986
#00FF00	#FF0000	0.0115992970123023	0.579406631762653	predicted	BIC	BIC.thresh	-0.00366525045723953
#FFFFFF	#FF0000	0.010896309314587	0.567190226876091	other	BIC	BIC.thresh	0.025210726924555
#FFFFFF	#FF0000	0.00984182776801406	0.527050610820244	other	BIC	BIC.thresh	0.115421360352252
#FFFFFF	#FF0000	0.00738137082601055	0.488656195462478	other	BIC	BIC.thresh	0.232787675674631
#FFFFFF	#FF0000	0.00527240773286468	0.448516579406632	other	BIC	BIC.thresh	0.347426700197016
#FFFFFF	#FF0000	0.00456942003514939	0.408376963350785	other	BIC	BIC.thresh	0.476342847811818
#FFFFFF	#FF0000	0.00421792618629174	0.368237347294939	other	BIC	BIC.thresh	0.611460822251934
#FFFFFF	#FF0000	0.00351493848857645	0.328097731239092	other	BIC	BIC.thresh	0.754908325878882
#FFFFFF	#FF0000	0.00246045694200352	0.287958115183246	other	BIC	BIC.thresh	0.934012149172178
